StockCode,real_description,median_price,total_qty,total_revenue,n_invoices,first_seen,last_seen
22423,REGENCY CAKESTAND 3 TIER,12.75,27577,344563.25,3918,2010-03-15 13:55:00,2011-12-09 10:23:00
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2.95,96147,263109.67,5365,2009-12-01 09:46:00,2011-12-09 11:34:00
85099B,JUMBO BAG RED RETROSPOT,1.95,98349,183454.83,3989,2009-12-01 10:06:00,2011-12-09 10:26:00
47566,PARTY BUNTING,4.95,28378,149187.05000000002,2674,2009-12-01 13:07:00,2011-12-09 10:23:00
84879,ASSORTED COLOUR BIRD ORNAMENT,1.69,81809,132187.91999999998,2807,2009-12-01 09:06:00,2011-12-09 12:31:00
22086,PAPER CHAIN KIT 50'S CHRISTMAS,2.95,36581,123141.54000000001,2018,2009-12-01 10:06:00,2011-12-09 12:19:00
79321,CHILLI LIGHTS,4.95,16840,85489.91,1135,2009-12-01 14:56:00,2011-12-09 12:20:00
23166,MEDIUM CERAMIC TOP STORAGE JAR,1.25,78033,81700.92000000001,247,2011-01-18 10:01:00,2011-12-09 10:03:00
22197,SMALL POPCORN HOLDER,0.85,89898,80920.64,2322,2009-12-01 11:45:00,2011-12-09 12:19:00
22386,JUMBO BAG PINK POLKADOT,1.95,39840,77111.91,2245,2010-01-29 12:35:00,2011-12-09 12:19:00
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,2.55,32525,74448.92,756,2009-12-01 11:58:00,2011-12-09 12:19:00
20725,LUNCH BAG RED RETROSPOT,1.65,40942,72292.85,3056,2009-12-01 10:06:00,2011-12-09 12:23:00
21137,BLACK RECORD COVER FRAME,3.75,19954,69329.47,634,2009-12-01 18:35:00,2011-12-09 12:00:00
85099F,JUMBO BAG STRAWBERRY,1.95,37124,68488.81,1830,2009-12-01 13:38:00,2011-12-08 16:30:00
20685,DOORMAT RED RETROSPOT,7.95,9974,67859.56,1725,2009-12-01 11:45:00,2011-12-09 12:49:00
48138,DOORMAT UNION FLAG,7.49,10175,67757.63,1664,2009-12-15 11:56:00,2011-12-09 10:26:00
23084,RABBIT NIGHT LIGHT,2.08,30788,66964.99,994,2011-05-10 14:20:00,2011-12-09 12:31:00
21843,RED RETROSPOT CAKE STAND,10.95,6290,66620.2,1527,2009-12-01 14:28:00,2011-12-09 10:26:00
22114,HOT WATER BOTTLE TEA AND SYMPATHY,3.95,12462,63517.75,1583,2009-12-01 10:06:00,2011-12-09 10:26:00
82484,WOOD BLACK BOARD ANT WHITE FINISH,6.75,11054,62842.02,1176,2010-04-11 10:30:00,2011-12-09 10:03:00
21931,JUMBO STORAGE BAG SUKI,1.95,29503,62285.28,2329,2009-12-01 11:34:00,2011-12-09 12:19:00
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,2.95,19597,61721.990000000005,1427,2010-09-19 10:20:00,2011-12-09 12:19:00
22502,PICNIC BASKET WICKER SMALL,5.95,3869,61510.67,924,2010-05-23 10:54:00,2011-09-25 14:33:00
22112,CHOCOLATE HOT WATER BOTTLE,4.95,11556,60763.12,1721,2009-12-01 09:08:00,2011-12-09 11:26:00
21621,VINTAGE UNION JACK BUNTING,8.5,6945,60668.54,1292,2009-12-01 12:47:00,2011-12-06 13:20:00
85099C,JUMBO  BAG BAROQUE BLACK WHITE,1.95,31249,60292.32,1868,2009-12-01 12:30:00,2011-12-09 12:19:00
15056N,EDWARDIAN PARASOL NATURAL,5.95,11370,58427.590000000004,1033,2009-12-01 11:50:00,2011-12-09 10:20:00
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1.95,27732,58275.45,2192,2010-01-29 13:52:00,2011-12-09 12:19:00
22470,HEART OF WICKER LARGE,2.95,18551,55898.87,1952,2010-04-22 12:12:00,2011-12-08 17:54:00
22189,CREAM HEART CARD HOLDER,3.95,18363,54598.73,1299,2009-12-01 12:13:00,2011-12-08 18:43:00
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,2.95,18979,53415.310000000005,2030,2009-12-01 11:50:00,2011-12-09 10:03:00
22178,VICTORIAN GLASS HANGING T-LIGHT,1.25,40748,53330.49,1816,2009-12-01 10:06:00,2011-12-09 12:31:00
22139,RETROSPOT TEA SET CERAMIC 11 PC,4.95,10675,53214.310000000005,2093,2009-12-01 09:28:00,2011-12-09 11:59:00
21212,PACK OF 72 RETROSPOT CAKE CASES,0.55,96560,52997.200000000004,3118,2009-12-01 10:49:00,2011-12-09 10:23:00
22111,SCOTTIE DOG HOT WATER BOTTLE,4.95,10218,52192.310000000005,1689,2009-12-01 09:06:00,2011-12-09 11:26:00
21623,VINTAGE UNION JACK MEMOBOARD,9.95,7200,52122.729999999996,530,2010-02-28 15:58:00,2011-12-08 13:18:00
21733,RED HANGING HEART T-LIGHT HOLDER,2.95,17999,51556.97,1760,2009-12-01 10:06:00,2011-12-08 14:38:00
84946,ANTIQUE SILVER TEA GLASS ETCHED,1.25,38064,51329.72,1769,2009-12-01 10:36:00,2011-12-09 12:31:00
22469,HEART OF WICKER SMALL,1.65,29037,51127.759999999995,2151,2010-04-22 12:12:00,2011-12-09 11:34:00
21181,PLEASE ONE PERSON METAL SIGN,2.1,25117,51005.82000000001,1810,2009-12-01 09:06:00,2011-12-09 10:26:00
21232,STRAWBERRY CERAMIC TRINKET BOX,1.25,38981,50760.48,2435,2009-12-01 07:45:00,2011-12-09 10:26:00
22090,PAPER BUNTING RETROSPOT,2.95,16808,50753.100000000006,1703,2009-12-01 10:36:00,2011-12-08 10:24:00
21929,JUMBO BAG PINK VINTAGE PAISLEY,1.95,25954,50334.1,1619,2009-12-01 09:57:00,2011-12-09 12:19:00
48194,DOORMAT HEARTS,7.95,7847,49633.29,1349,2009-12-01 11:45:00,2011-12-08 19:29:00
21731,RED TOADSTOOL LED NIGHT LIGHT,1.65,29715,49539.689999999995,1537,2009-12-01 09:28:00,2011-12-09 10:46:00
22457,NATURAL SLATE HEART CHALKBOARD,2.95,15771,48671.05,2046,2010-03-04 10:29:00,2011-12-09 10:26:00
15056BL,EDWARDIAN PARASOL BLACK,5.95,9646,48101.89,857,2009-12-01 11:50:00,2011-12-09 10:20:00
21754,HOME BUILDING BLOCK WORD,5.95,7847,48079.69,2066,2009-12-01 09:06:00,2011-12-09 10:26:00
84029E,RED WOOLLY HOTTIE WHITE HEART.,3.75,11830,47737.380000000005,1145,2009-12-01 09:44:00,2011-12-09 10:26:00
48187,DOORMAT NEW ENGLAND,7.95,7425,47265.11,1282,2009-12-01 11:41:00,2011-12-09 12:00:00
21523,DOORMAT FANCY FONT HOME SWEET HOME,7.95,7050,47225.46,1122,2009-12-01 07:45:00,2011-12-09 10:26:00
21928,JUMBO BAG SCANDINAVIAN PAISLEY,1.95,24780,47095.72,1542,2009-12-01 10:06:00,2011-12-09 10:26:00
22355,CHARLOTTE BAG SUKI DESIGN,0.85,32692,46633.439999999995,1742,2009-12-01 12:13:00,2011-12-09 10:23:00
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,3.25,15727,46546.53,809,2009-12-01 11:21:00,2011-12-08 16:30:00
20727,LUNCH BAG  BLACK SKULL.,1.65,27126,46422.49,2351,2009-12-01 12:13:00,2011-12-09 11:34:00
48185,DOORMAT FAIRY CAKE,7.95,6862,46104.340000000004,983,2009-12-01 10:52:00,2011-12-08 19:29:00
22138,BAKING SET 9 PIECE RETROSPOT,4.95,9383,45966.16,1914,2009-12-01 09:28:00,2011-12-09 12:50:00
22326,ROUND SNACK BOXES SET OF4 WOODLAND,2.95,15690,45046.68,1391,2010-01-07 16:46:00,2011-12-09 12:09:00
21915,RED  HARMONICA IN BOX,1.25,38191,44808.8,1025,2009-12-04 15:16:00,2011-12-07 15:07:00
82494L,WOODEN FRAME ANTIQUE WHITE,2.95,15645,44796.9,1973,2009-12-01 10:49:00,2011-12-08 19:55:00
21175,GIN + TONIC DIET METAL SIGN,2.1,20905,44391.43,1659,2009-12-01 11:45:00,2011-12-09 10:03:00
22383,LUNCH BAG SUKI  DESIGN,1.65,25461,43932.56,2398,2010-01-22 16:28:00,2011-12-09 10:23:00
84078A,SET/4 WHITE RETRO STORAGE CUBES,39.95,1129,43921.51,328,2009-12-02 11:26:00,2011-12-08 09:20:00
23298,SPOTTY BUNTING,4.95,8473,43182.83,1146,2011-05-04 13:57:00,2011-12-09 12:16:00
20728,LUNCH BAG CARS BLUE,1.65,24892,42784.74,2067,2009-12-01 10:06:00,2011-12-09 10:26:00
82482,WOODEN PICTURE FRAME WHITE FINISH,2.55,17198,42546.58,2006,2009-12-01 12:47:00,2011-12-09 10:26:00
23203,JUMBO BAG VINTAGE DOILY,2.08,20503,42067.78,1231,2011-05-06 15:54:00,2011-12-09 09:38:00
20713,JUMBO BAG OWLS,1.95,21199,41390.09,1314,2009-12-01 12:13:00,2011-12-09 12:19:00
22083,PAPER CHAIN KIT RETROSPOT,2.95,14008,41379.060000000005,1401,2009-12-01 10:06:00,2011-12-09 12:19:00
22328,ROUND SNACK BOXES SET OF 4 FRUITS,2.95,14636,40508.26,1159,2010-01-07 16:46:00,2011-12-09 12:09:00
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,3.75,10761,40308.03,1085,2009-12-01 10:59:00,2011-12-09 12:16:00
22960,JAM MAKING SET WITH JARS,4.25,9302,39694.56,1159,2010-11-28 12:38:00,2011-12-09 10:26:00
85066,CREAM SWEETHEART MINI CHEST,12.75,3148,39428.65,929,2009-12-01 10:06:00,2011-12-09 10:45:00
82486,WOOD S/3 CABINET ANT WHITE FINISH,7.95,4899,39382.5,1274,2009-12-01 10:49:00,2011-12-09 10:45:00
22699,ROSES REGENCY TEACUP AND SAUCER,2.95,13339,39134.89,1424,2010-08-11 15:46:00,2011-12-09 10:26:00
20726,LUNCH BAG WOODLAND,1.65,22341,38949.729999999996,1926,2009-12-01 10:06:00,2011-12-09 10:26:00
21485,RETROSPOT HEART HOT WATER BOTTLE,4.95,7927,38840.8,1385,2009-12-01 10:06:00,2011-12-09 11:26:00
22629,SPACEBOY LUNCH BOX,1.95,21223,38750.2,1368,2010-07-01 11:59:00,2011-12-09 12:50:00
21166,COOK WITH WINE METAL SIGN,1.95,20128,38560.16,1425,2009-12-01 11:45:00,2011-12-09 10:26:00
23284,DOORMAT KEEP CALM AND COME IN,7.95,5491,38166.64,728,2011-04-27 12:57:00,2011-12-09 10:03:00
22720,SET OF 3 CAKE TINS PANTRY DESIGN,4.95,7493,38158.39,1385,2010-12-13 15:13:00,2011-12-09 10:03:00
20712,JUMBO BAG WOODLAND ANIMALS,2.08,17957,38029.89,1415,2009-12-01 12:13:00,2011-12-09 10:26:00
22727,ALARM CLOCK BAKELIKE RED,3.75,9595,37970.11,1363,2010-09-24 10:29:00,2011-12-09 12:50:00
21524,DOORMAT SPOTTY HOME SWEET HOME,7.95,5342,36667.33,1150,2009-12-01 13:29:00,2011-12-08 20:01:00
