StockCode,text,description,category,seasonality,gifting,perishability,price_tier,impulse,substitute_group
22423,Three-tier ceramic cakestand for serving cakes at afternoon tea and parties Category: kitchenware. Seasonality: none. Gifting: high. Price tier: premium. Impulse: low. Substitute group: cake_stand.,Three-tier ceramic cakestand for serving cakes at afternoon tea and parties,kitchenware,none,high,durable,premium,low,cake_stand
85123A,"White heart-shaped hanging tealight holder, decorative home accessory Category: home_decor. Seasonality: none. Gifting: high. Price tier: budget. Impulse: high. Substitute group: tlight_holder.","White heart-shaped hanging tealight holder, decorative home accessory",home_decor,none,high,durable,budget,high,tlight_holder
85099B,Large reusable jumbo shopping bag in red polka-dot retrospot pattern Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: jumbo_bag.,Large reusable jumbo shopping bag in red polka-dot retrospot pattern,bags,none,low,durable,budget,high,jumbo_bag
47566,Fabric party bunting for decorating parties and celebrations Category: party. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: bunting.,Fabric party bunting for decorating parties and celebrations,party,none,medium,durable,mid,medium,bunting
84879,Assorted colour decorative bird ornaments for the home Category: home_decor. Seasonality: none. Gifting: medium. Price tier: budget. Impulse: high. Substitute group: ornament.,Assorted colour decorative bird ornaments for the home,home_decor,none,medium,durable,budget,high,ornament
22086,Make-your-own paper chain decoration kit in 1950s Christmas style Category: christmas_decor. Seasonality: christmas. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: paper_chain_kit.,Make-your-own paper chain decoration kit in 1950s Christmas style,christmas_decor,christmas,medium,semi_durable,mid,medium,paper_chain_kit
79321,String of decorative chilli-shaped fairy lights Category: lighting. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: string_lights.,String of decorative chilli-shaped fairy lights,lighting,none,medium,durable,mid,medium,string_lights
23166,Medium ceramic kitchen storage jar with lid Category: kitchenware. Seasonality: none. Gifting: low. Price tier: budget. Impulse: medium. Substitute group: storage_jar.,Medium ceramic kitchen storage jar with lid,kitchenware,none,low,durable,budget,medium,storage_jar
22197,Small retro popcorn holder tub Category: kitchenware. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: popcorn_holder.,Small retro popcorn holder tub,kitchenware,none,low,durable,budget,high,popcorn_holder
22386,Large reusable jumbo shopping bag in pink polka-dot pattern Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: jumbo_bag.,Large reusable jumbo shopping bag in pink polka-dot pattern,bags,none,low,durable,budget,high,jumbo_bag
84347,Rotating silver angel tealight holder that turns with candle heat Category: home_decor. Seasonality: christmas. Gifting: high. Price tier: mid. Impulse: medium. Substitute group: tlight_holder.,Rotating silver angel tealight holder that turns with candle heat,home_decor,christmas,high,durable,mid,medium,tlight_holder
20725,Insulated lunch bag in red retrospot polka-dot pattern Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: lunch_bag.,Insulated lunch bag in red retrospot polka-dot pattern,bags,none,low,durable,budget,high,lunch_bag
21137,Black picture frame sized for a vinyl record cover Category: home_decor. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: frame.,Black picture frame sized for a vinyl record cover,home_decor,none,medium,durable,mid,medium,frame
85099F,Large reusable jumbo shopping bag in strawberry print Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: jumbo_bag.,Large reusable jumbo shopping bag in strawberry print,bags,none,low,durable,budget,high,jumbo_bag
20685,Coir doormat in red retrospot polka-dot design Category: home_decor. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: low. Substitute group: doormat.,Coir doormat in red retrospot polka-dot design,home_decor,none,medium,durable,mid,low,doormat
48138,Coir doormat with Union Jack flag design Category: home_decor. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: low. Substitute group: doormat.,Coir doormat with Union Jack flag design,home_decor,none,medium,durable,mid,low,doormat
23084,Rabbit-shaped children's night light Category: lighting. Seasonality: none. Gifting: high. Price tier: budget. Impulse: medium. Substitute group: night_light.,Rabbit-shaped children's night light,lighting,none,high,durable,budget,medium,night_light
21843,Red retrospot polka-dot ceramic cake stand Category: kitchenware. Seasonality: none. Gifting: high. Price tier: premium. Impulse: low. Substitute group: cake_stand.,Red retrospot polka-dot ceramic cake stand,kitchenware,none,high,durable,premium,low,cake_stand
22114,Hot water bottle with knitted Tea and Sympathy cover Category: home_comfort. Seasonality: none. Gifting: high. Price tier: mid. Impulse: medium. Substitute group: hot_water_bottle.,Hot water bottle with knitted Tea and Sympathy cover,home_comfort,none,high,durable,mid,medium,hot_water_bottle
82484,Wooden message blackboard with antique white finish Category: home_decor. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: low. Substitute group: chalkboard.,Wooden message blackboard with antique white finish,home_decor,none,medium,durable,mid,low,chalkboard
21931,Large reusable jumbo storage bag in Suki floral design Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: jumbo_bag.,Large reusable jumbo storage bag in Suki floral design,bags,none,low,durable,budget,high,jumbo_bag
22910,Make-your-own paper chain decoration kit in vintage Christmas style Category: christmas_decor. Seasonality: christmas. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: paper_chain_kit.,Make-your-own paper chain decoration kit in vintage Christmas style,christmas_decor,christmas,medium,semi_durable,mid,medium,paper_chain_kit
22502,Small wicker picnic basket Category: outdoor. Seasonality: spring_summer. Gifting: high. Price tier: mid. Impulse: low. Substitute group: picnic_basket.,Small wicker picnic basket,outdoor,spring_summer,high,durable,mid,low,picnic_basket
22112,Hot water bottle with chocolate-themed knitted cover Category: home_comfort. Seasonality: none. Gifting: high. Price tier: mid. Impulse: medium. Substitute group: hot_water_bottle.,Hot water bottle with chocolate-themed knitted cover,home_comfort,none,high,durable,mid,medium,hot_water_bottle
21621,Vintage Union Jack fabric bunting for celebrations Category: party. Seasonality: none. Gifting: medium. Price tier: premium. Impulse: low. Substitute group: bunting.,Vintage Union Jack fabric bunting for celebrations,party,none,medium,durable,premium,low,bunting
85099C,Large reusable jumbo shopping bag in baroque black and white print Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: jumbo_bag.,Large reusable jumbo shopping bag in baroque black and white print,bags,none,low,durable,budget,high,jumbo_bag
15056N,Natural-coloured Edwardian-style parasol sun umbrella Category: accessories. Seasonality: spring_summer. Gifting: medium. Price tier: mid. Impulse: low. Substitute group: parasol.,Natural-coloured Edwardian-style parasol sun umbrella,accessories,spring_summer,medium,durable,mid,low,parasol
22411,Large reusable jumbo shopper bag in vintage red paisley print Category: bags. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: jumbo_bag.,Large reusable jumbo shopper bag in vintage red paisley print,bags,none,low,durable,budget,high,jumbo_bag
22470,Large woven wicker heart decoration for hanging Category: home_decor. Seasonality: valentine. Gifting: high. Price tier: mid. Impulse: medium. Substitute group: wicker_heart.,Large woven wicker heart decoration for hanging,home_decor,valentine,high,durable,mid,medium,wicker_heart
22189,Cream heart-shaped greeting card display holder Category: home_decor. Seasonality: valentine. Gifting: medium. Price tier: mid. Impulse: medium. Substitute group: card_holder.,Cream heart-shaped greeting card display holder,home_decor,valentine,medium,durable,mid,medium,card_holder
20914,Set of five red retrospot glass bowls with lids Category: kitchenware. Seasonality: none. Gifting: medium. Price tier: mid. Impulse: low. Substitute group: glass_bowls.,Set of five red retrospot glass bowls with lids,kitchenware,none,medium,durable,mid,low,glass_bowls
22178,Victorian-style hanging glass tealight holder Category: home_decor. Seasonality: none. Gifting: medium. Price tier: budget. Impulse: high. Substitute group: tlight_holder.,Victorian-style hanging glass tealight holder,home_decor,none,medium,durable,budget,high,tlight_holder
22139,Eleven-piece ceramic tea set in retrospot polka-dot design Category: kitchenware. Seasonality: none. Gifting: high. Price tier: mid. Impulse: low. Substitute group: tea_set.,Eleven-piece ceramic tea set in retrospot polka-dot design,kitchenware,none,high,durable,mid,low,tea_set
21212,Pack of 72 retrospot polka-dot paper cake cases for baking Category: baking. Seasonality: none. Gifting: low. Price tier: budget. Impulse: high. Substitute group: cake_cases.,Pack of 72 retrospot polka-dot paper cake cases for baking,baking,none,low,semi_durable,budget,high,cake_cases
22111,Hot water bottle with knitted Scottie dog cover Category: home_comfort. Seasonality: none. Gifting: high. Price tier: mid. Impulse: medium. Substitute group: hot_water_bottle.,Hot water bottle with knitted Scottie dog cover,home_comfort,none,high,durable,mid,medium,hot_water_bottle
21623,Vintage Union Jack memo board for notes and photos Category: home_decor. Seasonality: none. Gifting: medium. Price tier: premium. Impulse: low. Substitute group: memo_board.,Vintage Union Jack memo board for notes and photos,home_decor,none,medium,durable,premium,low,memo_board
